window_id,train_start_date,train_end_date,train_samples,validation_start_date,validation_end_date,validation_samples,test_start_date,test_end_date,test_samples,oos_start_date,oos_end_date,oos_samples,train_accuracy,train_auc,train_positive_rate,val_accuracy,val_auc,val_samples,val_positive_rate,val_start_date,val_end_date,test_accuracy,test_auc,test_positive_rate,oos_accuracy,oos_auc,oos_positive_rate,oos_backtest_total_return,oos_backtest_annualized_return,oos_backtest_sharpe,oos_backtest_max_drawdown,oos_backtest_final_equity,oos_backtest_bars
1,2018-01-31,2020-01-31,1512,2020-02-03,2020-07-31,378,2020-08-03,2021-02-01,378,2021-02-02,2021-05-03,189,0.96494708994709,0.9977322288518036,0.6686507936507936,0.5793650793650794,0.5538309928553831,378,0.6322751322751323,2020-02-03,2020-07-31,0.5608465608465608,0.5462729357798165,0.6296296296296297,0.5873015873015873,0.4979679385865884,0.8518518518518519,0.04575405233962049,0.19596432388258367,1.1820324730689933,-0.06479464947916669,104575.40523396205,63
2,2018-05-02,2020-05-01,1512,2020-05-04,2020-10-29,378,2020-10-30,2021-05-03,378,2021-05-04,2021-08-02,189,0.96494708994709,0.9964175400567822,0.66005291005291,0.5370370370370371,0.539354262758518,378,0.5555555555555556,2020-05-04,2020-10-29,0.4894179894179894,0.46072008348794063,0.5317460317460317,0.5502645502645502,0.4013194834362718,0.656084656084656,0.05479023889895407,0.23783970376792585,1.861679677619457,-0.045446342456489264,105479.02388989541,63
3,2018-08-01,2020-07-31,1512,2020-08-03,2021-02-01,378,2021-02-02,2021-08-02,378,2021-08-03,2021-10-29,189,0.9708994708994709,0.9973228944011502,0.6620370370370371,0.48412698412698413,0.4663130733944954,378,0.5317460317460317,2020-08-03,2021-02-01,0.5,0.49432367149758455,0.5582010582010583,0.5238095238095238,0.4923913043478261,0.656084656084656,0.04587110922928761,0.19649989673964408,1.6631885952312124,-0.0509920077997994,104587.11092292875,63
4,2018-10-30,2020-10-29,1512,2020-10-30,2021-05-03,378,2021-05-04,2021-10-29,378,2021-11-01,2022-01-31,189,0.9722222222222222,0.997654658949901,0.6554232804232805,0.43386243386243384,0.44555890538033394,378,0.2751322751322751,2020-10-30,2021-05-03,0.4497354497354497,0.4375663247258578,0.5264550264550265,0.5238095238095238,0.5994400895856663,0.38095238095238093,0.04048266017508384,0.17203178051124768,1.2853697996223576,-0.07588935398834074,104048.26601750839,63
5,2019-02-01,2021-02-01,1512,2021-02-02,2021-08-02,378,2021-08-03,2022-01-31,378,2022-02-01,2022-05-02,189,0.9735449735449735,0.9984618133511494,0.6759259259259259,0.5396825396825397,0.4677838164251208,378,0.6349206349206349,2021-02-02,2021-08-02,0.5740740740740741,0.5911214953271028,0.8121693121693122,0.3492063492063492,0.4297297297297297,0.798941798941799,-0.08294410977970867,-0.29273328719288483,-1.2896294271671487,-0.11704901580303428,91705.58902202913,63
6,2019-05-03,2021-05-03,1512,2021-05-04,2021-10-29,378,2021-11-01,2022-05-02,378,2022-05-03,2022-08-02,189,0.9695767195767195,0.9978638214319905,0.6514550264550265,0.5317460317460317,0.4959320834807216,378,0.7513227513227513,2021-05-04,2021-10-29,0.4656084656084656,0.4964569160997732,0.7407407407407407,0.4708994708994709,0.44988532110091745,0.671957671957672,-0.004001903297613629,-0.015911777919553227,0.05784221970252553,-0.1169928953258248,99599.80967023864,63
7,2019-08-02,2021-08-02,1512,2021-08-03,2022-01-31,378,2022-02-01,2022-08-02,378,2022-08-03,2022-10-31,189,0.9728835978835979,0.9978000230565269,0.669973544973545,0.5582010582010583,0.491879416457716,378,0.8333333333333334,2021-08-03,2022-01-31,0.46296296296296297,0.4587922096118817,0.708994708994709,0.38095238095238093,0.4120315111005013,0.6984126984126984,-0.0982979368823822,-0.33892268667771963,-1.5798043944159503,-0.17440682269087915,90170.20631176178,63
8,2019-10-31,2021-10-29,1512,2021-11-01,2022-05-02,378,2022-05-03,2022-10-31,378,2022-11-01,2023-02-01,189,0.9728835978835979,0.9979937087617001,0.6633597883597884,0.5264550264550265,0.5289115646258503,378,0.58994708994709,2021-11-01,2022-05-02,0.4497354497354497,0.4447250280583614,0.708994708994709,0.5555555555555556,0.5080302314596127,0.7936507936507936,0.07611205699602208,0.3410037410299167,1.2719090298394717,-0.08371761323104898,107611.2056996022,63
9,2020-02-03,2022-01-31,1512,2022-02-01,2022-08-02,378,2022-08-03,2023-02-01,378,2023-02-02,2023-05-03,189,0.968915343915344,0.9966311627531671,0.6302910052910053,0.46825396825396826,0.4789407313997478,378,0.6296296296296297,2022-02-01,2022-08-02,0.5,0.48685499902007445,0.6296296296296297,0.6084656084656085,0.4978391356542617,0.8095238095238095,0.08241448478581614,0.37269604150541613,2.157674886063216,-0.044814467962541515,108241.44847858162,63
10,2020-05-04,2022-05-02,1512,2022-05-03,2022-10-31,378,2022-11-01,2023-05-03,378,2023-05-04,2023-08-03,189,0.9761904761904762,0.9972133757961783,0.5978835978835979,0.455026455026455,0.45443322109988776,378,0.671957671957672,2022-05-03,2022-10-31,0.5687830687830688,0.4923374497842583,0.6984126984126984,0.5238095238095238,0.5309189455530919,0.5767195767195767,0.061407413353039564,0.2691953329571368,2.908932668215772,-0.01446179970568906,106140.74133530396,63
